"id","vector","h","s","v"
"woodrow-wilson","#A95838","0.0471976401179941","0.668639053254438","0.662745098039216"
"james-buchanan","#443A36","0.0476190476190476","0.205882352941176","0.266666666666667"
"hw-bush","#783216","0.0476190476190476","0.816666666666667","0.470588235294118"
"james-garfield","#3A1202","0.0476190476190476","0.96551724137931","0.227450980392157"
"lyndon-johnson","#C99079","0.0479166666666667","0.398009950248756","0.788235294117647"
"andrew-jackson","#9C6D5A","0.0479797979797979","0.423076923076923","0.611764705882353"
"grover-cleveland","#461C0B","0.0480225988700565","0.842857142857143","0.274509803921569"
"dwight-eisenhower","#A75331","0.0480225988700565","0.706586826347305","0.654901960784314"
"ronald-reagan","#C0A093","0.0481481481481482","0.234375","0.752941176470588"
"jq-adams","#976B59","0.0483870967741936","0.410596026490066","0.592156862745098"
"john-adams","#CF9C87","0.0486111111111111","0.347826086956522","0.811764705882353"
"thomas-jefferson","#5D2F1C","0.0487179487179487","0.698924731182796","0.364705882352941"
"rutherford-hayes","#793316","0.0488215488215488","0.818181818181818","0.474509803921569"
"abraham-lincoln","#B7765B","0.0489130434782609","0.502732240437158","0.717647058823529"
"jq-adams","#82462D","0.0490196078431373","0.653846153846154","0.509803921568627"
"ronald-reagan","#DC8865","0.0490196078431373","0.540909090909091","0.862745098039216"
"james-madison","#AB5A38","0.0492753623188406","0.672514619883041","0.670588235294118"
"james-polk","#D79E86","0.0493827160493827","0.376744186046512","0.843137254901961"
"gerald-ford","#953E19","0.0497311827956989","0.832214765100671","0.584313725490196"
"ronald-reagan","#D88D6D","0.0498442367601246","0.49537037037037","0.847058823529412"
"william-taft","#AD6242","0.0498442367601246","0.61849710982659","0.67843137254902"
"grover-cleveland","#190B05","0.05","0.8","0.0980392156862745"
"rutherford-hayes","#381C10","0.05","0.714285714285714","0.219607843137255"
"james-polk","#C58B72","0.0502008032128514","0.421319796954315","0.772549019607843"
"jimmy-carter","#F8B192","0.0506535947712418","0.411290322580645","0.972549019607843"
"martin-van-buren","#EDA687","0.0506535947712418","0.430379746835443","0.929411764705882"
"andrew-johnson","#1C0C05","0.0507246376811594","0.821428571428571","0.109803921568627"
"millard-fillmore","#442213","0.0510204081632653","0.720588235294118","0.266666666666667"
"george-washington","#534139","0.0512820512820512","0.313253012048193","0.325490196078431"
"w-bush","#AE6646","0.0512820512820513","0.597701149425287","0.682352941176471"
"ulysses-grant","#2B1004","0.0512820512820513","0.906976744186047","0.168627450980392"
"franklin-pierce","#2E1307","0.0512820512820513","0.847826086956522","0.180392156862745"
"james-monroe","#D49C83","0.051440329218107","0.382075471698113","0.831372549019608"
"bill-clinton","#F9CAB5","0.0514705882352941","0.273092369477912","0.976470588235294"
"thomas-jefferson","#B3795F","0.0515873015873016","0.46927374301676","0.701960784313725"
"william-taft","#E19370","0.051622418879056","0.502222222222222","0.882352941176471"
"william-taft","#B57E65","0.0520833333333333","0.441988950276243","0.709803921568627"
"martin-van-buren","#4B352B","0.0520833333333333","0.426666666666667","0.294117647058824"
"james-polk","#E0A78D","0.0522088353413655","0.370535714285714","0.87843137254902"
"zachary-taylor","#4B2615","0.0524691358024691","0.72","0.294117647058824"
"bill-clinton","#4C3023","0.0528455284552845","0.539473684210526","0.298039215686275"
"james-garfield","#4E230F","0.0529100529100529","0.807692307692308","0.305882352941176"
"ronald-reagan","#DC9371","0.0529595015576324","0.486363636363636","0.862745098039216"
"gerald-ford","#5C1E01","0.0531135531135531","0.989130434782609","0.36078431372549"
"martin-van-buren","#BF907A","0.0531400966183575","0.361256544502618","0.749019607843137"
"millard-fillmore","#4C1B04","0.0532407407407407","0.947368421052632","0.298039215686275"
"barack-obama","#33221A","0.0533333333333333","0.490196078431373","0.2"
"harry-truman","#743D23","0.0534979423868313","0.698275862068966","0.454901960784314"
"james-madison","#421C0A","0.0535714285714286","0.848484848484849","0.258823529411765"
"woodrow-wilson","#512510","0.0538461538461539","0.802469135802469","0.317647058823529"
"john-adams","#D6A892","0.053921568627451","0.317757009345794","0.83921568627451"
"millard-fillmore","#441600","0.053921568627451","1","0.266666666666667"
"andrew-jackson","#BE907A","0.053921568627451","0.357894736842105","0.745098039215686"
"martin-van-buren","#865842","0.053921568627451","0.507462686567164","0.525490196078431"
"martin-van-buren","#80523C","0.053921568627451","0.53125","0.501960784313725"
"george-washington","#4F382D","0.053921568627451","0.430379746835443","0.309803921568627"
"ronald-reagan","#9A5331","0.053968253968254","0.681818181818182","0.603921568627451"
"james-monroe","#3A2115","0.0540540540540541","0.637931034482759","0.227450980392157"
"gerald-ford","#CC7F5A","0.054093567251462","0.558823529411765","0.8"
"bill-clinton","#BF734E","0.0545722713864307","0.591623036649215","0.749019607843137"
"abraham-lincoln","#793C1E","0.054945054945055","0.752066115702479","0.474509803921569"
"john-tyler","#DB9E80","0.054945054945055","0.415525114155251","0.858823529411765"
"abraham-lincoln","#AD795F","0.0555555555555555","0.450867052023121","0.67843137254902"
"george-washington","#40322B","0.0555555555555555","0.328125","0.250980392156863"
"martin-van-buren","#2F211A","0.0555555555555556","0.446808510638298","0.184313725490196"
"woodrow-wilson","#955C3F","0.0562015503875969","0.577181208053691","0.584313725490196"
"james-buchanan","#F9C2A6","0.0562248995983936","0.333333333333333","0.976470588235294"
"dwight-eisenhower","#734832","0.0564102564102564","0.565217391304348","0.450980392156863"
"lyndon-johnson","#5B3420","0.0564971751412429","0.648351648351648","0.356862745098039"
"john-kennedy","#441F0C","0.056547619047619","0.823529411764706","0.266666666666667"
"herbert-hoover","#854321","0.0566666666666667","0.75187969924812","0.52156862745098"
"hw-bush","#83492B","0.0568181818181818","0.67175572519084","0.513725490196078"
"william-taft","#D49A7C","0.0568181818181818","0.415094339622642","0.831372549019608"
"theodore-roosevelt","#CB9579","0.0569105691056911","0.403940886699507","0.796078431372549"
"william-taft","#462B1D","0.0569105691056911","0.585714285714286","0.274509803921569"
"dwight-eisenhower","#85553C","0.0570776255707762","0.548872180451128","0.52156862745098"
"william-mckinley","#85573F","0.0571428571428571","0.526315789473684","0.52156862745098"
"james-monroe","#786155","0.0571428571428571","0.291666666666667","0.470588235294118"
"franklin-pierce","#F2B18F","0.0572390572390572","0.409090909090909","0.949019607843137"
"james-monroe","#362116","0.0572916666666667","0.592592592592593","0.211764705882353"
"abraham-lincoln","#47342A","0.0574712643678161","0.408450704225352","0.27843137254902"
"millard-fillmore","#371300","0.0575757575757576","1","0.215686274509804"
"thomas-jefferson","#4B2714","0.0575757575757576","0.733333333333333","0.294117647058824"
"bill-clinton","#E8B59A","0.0576923076923077","0.336206896551724","0.909803921568627"
"william-mckinley","#3E1C0A","0.0576923076923077","0.838709677419355","0.243137254901961"
"jimmy-carter","#DB9B79","0.0578231292517007","0.447488584474886","0.858823529411765"
"woodrow-wilson","#9B5B39","0.0578231292517007","0.632258064516129","0.607843137254902"
"william-harrison","#7A4B32","0.0578703703703704","0.590163934426229","0.47843137254902"
"william-harrison","#955939","0.0579710144927536","0.61744966442953","0.584313725490196"
"william-taft","#AB6844","0.058252427184466","0.60233918128655","0.670588235294118"
"john-adams","#D8B19C","0.0583333333333333","0.277777777777778","0.847058823529412"
"abraham-lincoln","#C2815E","0.0583333333333333","0.515463917525773","0.76078431372549"
"grover-cleveland","#955634","0.0584192439862543","0.651006711409396","0.584313725490196"
"james-buchanan","#C99274","0.0588235294117647","0.422885572139303","0.788235294117647"
"thomas-jefferson","#271105","0.0588235294117647","0.871794871794872","0.152941176470588"
"andrew-jackson","#39251A","0.0591397849462366","0.543859649122807","0.223529411764706"
"james-madison","#A0613E","0.0595238095238095","0.6125","0.627450980392157"
"james-madison","#925C3E","0.0595238095238095","0.575342465753425","0.572549019607843"
"james-monroe","#412F25","0.0595238095238095","0.430769230769231","0.254901960784314"
"john-tyler","#945532","0.0595238095238095","0.662162162162162","0.580392156862745"
"calvin-coolidge","#ED874E","0.059748427672956","0.670886075949367","0.929411764705882"
"william-mckinley","#875539","0.0598290598290598","0.577777777777778","0.529411764705882"
"jq-adams","#8B5D43","0.0601851851851852","0.517985611510791","0.545098039215686"
"rutherford-hayes","#56311C","0.0603448275862069","0.674418604651163","0.337254901960784"
"lyndon-johnson","#70442B","0.0603864734299517","0.616071428571428","0.43921568627451"
"andrew-johnson","#B9754E","0.0607476635514019","0.578378378378378","0.725490196078431"
"dwight-eisenhower","#53260C","0.0610328638497653","0.855421686746988","0.325490196078431"
"andrew-jackson","#B18B75","0.0611111111111111","0.338983050847458","0.694117647058824"
"ronald-reagan","#A36541","0.0612244897959184","0.601226993865031","0.63921568627451"
"ronald-reagan","#81431F","0.0612244897959184","0.75968992248062","0.505882352941176"
"woodrow-wilson","#492A18","0.0612244897959184","0.671232876712329","0.286274509803922"
"andrew-johnson","#B5744E","0.0614886731391586","0.569060773480663","0.709803921568627"
"william-harrison","#C06E3E","0.0615384615384615","0.677083333333333","0.752941176470588"
"james-madison","#351F12","0.0619047619047619","0.660377358490566","0.207843137254902"
"james-monroe","#381D0D","0.062015503875969","0.767857142857143","0.219607843137255"
"herbert-hoover","#874C29","0.0620567375886525","0.696296296296296","0.529411764705882"
"bill-clinton","#945631","0.0622895622895623","0.668918918918919","0.580392156862745"
"john-adams","#191411","0.0625","0.32","0.0980392156862745"
"jq-adams","#DEB196","0.0625","0.324324324324324","0.870588235294118"
"james-madison","#B18E79","0.0625","0.31638418079096","0.694117647058824"
"james-madison","#EA9F72","0.0625","0.512820512820513","0.917647058823529"
"franklin-pierce","#9B6E53","0.0625","0.464516129032258","0.607843137254902"
"franklin-roosevelt","#C98A64","0.0627062706270627","0.502487562189055","0.788235294117647"
"ronald-reagan","#834926","0.0627240143369176","0.709923664122137","0.513725490196078"
"james-garfield","#432716","0.062962962962963","0.671641791044776","0.262745098039216"
"martin-van-buren","#503423","0.062962962962963","0.5625","0.313725490196078"
"theodore-roosevelt","#543D2F","0.0630630630630631","0.44047619047619","0.329411764705882"
"john-adams","#98745E","0.0632183908045977","0.381578947368421","0.596078431372549"
"andrew-johnson","#49250F","0.0632183908045977","0.794520547945205","0.286274509803922"
